Register Name,Register Description,Register Address,Register Width,Register Access,Register Reset Value,Field Name,Field Description,Field Offset,Field Width,Field Access,Field Reset Value,Field is Volatile,Field is Reserved,Field Backdoor
gpio_info,Info register that contains information about this peripheral.,0,32,,1024,,,,,,,,,
gpio_info,,,,,,gpio_cnt,Contains the number of GPIOs controlled by this peripheral.,0,10,RO,,1,,u_info_gpio_cnt.qs
gpio_info,,,,,,version,The version number of the IPs.,10,10,RO,1,1,,u_info_version.qs
gpio_cfg,Global configuration register for the peripheral,4,32,,0,,,,,,,,,
gpio_cfg,,,,,,intrpt_mode,"If 1, keep the interrupt line asserted until all
interrupts are cleared. If 0, generate one cycle wide pulse for every interrupt.",0,1,RW,0,0,,u_cfg_intrpt_mode.q
gpio_cfg,,,,,,reserved, Reserved for future use,1,1,RW,,0,,u_cfg_reserved.q
gpio_gpio_mode_0,Set the IO Mode of the GPIO.,8,32,,0,,,,,,,,,
gpio_gpio_mode_0,,,,,,mode_0,Change the IO  mode of the GPIO.,0,2,RW,0,0,,u_gpio_mode_0_mode_0.q
gpio_gpio_mode_0,,,,,,mode_1,Change the IO  mode of the GPIO.,2,2,RW,0,0,,u_gpio_mode_0_mode_1.q
gpio_gpio_mode_0,,,,,,mode_2,Change the IO  mode of the GPIO.,4,2,RW,0,0,,u_gpio_mode_0_mode_2.q
gpio_gpio_mode_0,,,,,,mode_3,Change the IO  mode of the GPIO.,6,2,RW,0,0,,u_gpio_mode_0_mode_3.q
gpio_gpio_mode_0,,,,,,mode_4,Change the IO  mode of the GPIO.,8,2,RW,0,0,,u_gpio_mode_0_mode_4.q
gpio_gpio_mode_0,,,,,,mode_5,Change the IO  mode of the GPIO.,10,2,RW,0,0,,u_gpio_mode_0_mode_5.q
gpio_gpio_mode_0,,,,,,mode_6,Change the IO  mode of the GPIO.,12,2,RW,0,0,,u_gpio_mode_0_mode_6.q
gpio_gpio_mode_0,,,,,,mode_7,Change the IO  mode of the GPIO.,14,2,RW,0,0,,u_gpio_mode_0_mode_7.q
gpio_gpio_mode_0,,,,,,mode_8,Change the IO  mode of the GPIO.,16,2,RW,0,0,,u_gpio_mode_0_mode_8.q
