Block Name,Block Description,Block Coverage,Block Backdoor,Block Component Name,Block Instance Name,Block Instance Type,Block Instance Description,Block Instance Dimension,Block Instance Backdoor,Block Instance No Reg Tests,Block Instance No Reg Access Test,Block Instance No Reg Shared Access Test,Block Instance No Reg Bit Bash Test,Block Instance No Reg HW Reset Test,Block Instance No Mem Tests,Block Instance No Mem Access Test,Block Instance No Mem Shared Access Test,Block Instance No Mem Walk Test,Project Extra Imports
siracusa_top_block,Top block of siracusa,,tb.i_dut,soc_block,soc,block,SoC Sub block,,soc_domain_i.pulp_soc_i,,,,,,,,,,
siracusa_top_block,,,,cluster_block,cluster,block,Cluster sub block,,cluster_domain_i.cluster_i,,,,,,,,,,
siracusa_top_block,,,,pll_config_block,soc_pll,block,SoC PLL Config Register,,i_soc_pll.i_regfile,,,,,,,,,,
siracusa_top_block,,,,pll_config_block,cluster_pll,block,Cluster PLL Config Registers,,i_cluster_pll.i_regfile,,,,,,,,,,
siracusa_top_block,,,,pll_config_block,per_pll,block,Peripheral PLL Config Registers,,i_per_pll.i_regfile,,,,,,,,,,
siracusa_top_block,,,,siracusa_pads_functional_config_block,pad_cfg_functional,block,Pad Configuration Normal Mode,,i_pads.i_siracusa_pads.i_functional_muxer.i_regfile,,,,,,,,,,
siracusa_top_block,,,,siracusa_pads_debug_config_block,pad_cfg_debug,block,Pad Configuration Debug Mode,,i_pads.i_siracusa_pads.i_debug_muxer.i_regfile,,,,,,,,,,
siracusa_top_block,,,,siracusa_ctrl_block,siracusa_ctrl,block,Chip Level Debug registers,,i_chip_ctrl_reg_top,,,,,,,,,,
soc_block,SoC Domain,,,private_bank_soc,private_bank0,mem,Private Bank 0,,l2_ram_i.bank_sram_pri0_i.sram,,,,,,,,,,
soc_block,,,,private_bank_soc,private_bank1,mem,Private Bank 1,,l2_ram_i.bank_sram_pri1_i.sram,,,,,,,,,,
soc_block,,,,l2_memory,l2_ram,mem,L2 Memory,,l2_ram_i,,,,,,,,,,
soc_block,,,,soc_peripherals_block,soc_peripherals,block,SoC Peripherals,,soc_peripherals_i,,,,,,,,,,
cluster_block,Cluster Domain,,,l1_memory,l1_ram,mem,L1 Memory,,tcdm_banks_i,,,,,,,,,,
cluster_block,,,,weight_mem_block,weight_mem,block,Weight Memory Subsystem,,i_weight_memory,,,,,,,,,,
