Block Name,BlockMap Name,BlockMap Description,BlockMap is default,BlockMap Instance Name,BlockMap Instance Address,BlockMap Instance Access,BlockMap Address Offset
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,Default Map,True,,,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio00_cfg,0,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio00_mux_sel,4,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio01_cfg,8,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio01_mux_sel,12,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio02_cfg,16,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio02_mux_sel,20,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio03_cfg,24,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio03_mux_sel,28,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio04_cfg,32,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio04_mux_sel,36,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio05_cfg,40,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio05_mux_sel,44,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio06_cfg,48,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio06_mux_sel,52,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio07_cfg,56,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio07_mux_sel,60,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio08_cfg,64,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio08_mux_sel,68,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio09_cfg,72,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio09_mux_sel,76,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio10_cfg,80,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio10_mux_sel,84,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio11_cfg,88,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio11_mux_sel,92,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio12_cfg,96,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio12_mux_sel,100,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio13_cfg,104,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio13_mux_sel,108,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio14_cfg,112,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio14_mux_sel,116,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio15_cfg,120,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio15_mux_sel,124,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio16_cfg,128,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio16_mux_sel,132,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio17_cfg,136,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio17_mux_sel,140,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio18_cfg,144,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio18_mux_sel,148,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio19_cfg,152,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio19_mux_sel,156,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio20_cfg,160,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio20_mux_sel,164,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio21_cfg,168,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio21_mux_sel,172,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio22_cfg,176,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio22_mux_sel,180,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio23_cfg,184,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio23_mux_sel,188,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio24_cfg,192,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio24_mux_sel,196,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio25_cfg,200,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio25_mux_sel,204,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio26_cfg,208,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio26_mux_sel,212,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio27_cfg,216,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio27_mux_sel,220,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio28_cfg,224,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio28_mux_sel,228,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio29_cfg,232,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio29_mux_sel,236,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio30_cfg,240,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio30_mux_sel,244,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio31_cfg,248,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio31_mux_sel,252,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio32_cfg,256,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio32_mux_sel,260,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio33_cfg,264,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio33_mux_sel,268,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio34_cfg,272,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio34_mux_sel,276,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio35_cfg,280,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio35_mux_sel,284,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio36_cfg,288,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio36_mux_sel,292,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio37_cfg,296,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio37_mux_sel,300,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio38_cfg,304,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio38_mux_sel,308,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio39_cfg,312,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio39_mux_sel,316,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio40_cfg,320,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio40_mux_sel,324,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio41_cfg,328,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio41_mux_sel,332,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio42_cfg,336,,
siracusa_pads_functional_config_block,siracusa_pads_functional_config_map,,,pad_gpio42_mux_sel,340,,
