Register Name,Register Description,Register Address,Register Width,Register Access,Register Reset Value,Field Name,Field Description,Field Offset,Field Width,Field Access,Field Reset Value,Field is Volatile,Field is Reserved,Field Backdoor
siracusa_pads_functional_config_pad_gpio00_cfg,Pad signal configuration.,0,32,,16,,,,,,,,,
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,chip2pad,Connects to pad's TX driver,0,1,RW,0,0,,u_pad_gpio00_cfg_chip2pad.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,drv0,Choose the driving strength of the pad. LSB = ~3mA,1,1,RW,0,0,,u_pad_gpio00_cfg_drv0.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,drv1,Choose the driving strength of the pad. LSB = ~3mA,2,1,RW,0,0,,u_pad_gpio00_cfg_drv1.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,drv2,Choose the driving strength of the pad. LSB = ~3mA,3,1,RW,0,0,,u_pad_gpio00_cfg_drv2.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,drv3,Choose the driving strength of the pad. LSB = ~3mA,4,1,RW,1,0,,u_pad_gpio00_cfg_drv3.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,pull_en,"Enable pull up/down (depends on pull_sel) resistor, active-high",5,1,RW,0,0,,u_pad_gpio00_cfg_pull_en.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,pull_sel,"1 -> use pull-up resistor (if pull_en == 1), 0 -> use pull-down resistor",6,1,RW,0,0,,u_pad_gpio00_cfg_pull_sel.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,ret_en,"Enable retention mode, active-high",7,1,RW,0,0,,u_pad_gpio00_cfg_ret_en.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,st_en,"Schmitt-trigger enable, active high",8,1,RW,0,0,,u_pad_gpio00_cfg_st_en.q
siracusa_pads_functional_config_pad_gpio00_cfg,,,,,,tx_en,"TX driver enable, active low",9,1,RW,0,0,,u_pad_gpio00_cfg_tx_en.q
siracusa_pads_functional_config_pad_gpio00_mux_sel,"Pad signal port multiplex selection for pad pad_gpio00. The programmed value defines which port
is connected to the pad.",4,32,,0,,,,,,,,,
siracusa_pads_functional_config_pad_gpio00_mux_sel,,,,,,pad_gpio00_mux_sel,,0,5,RW,0,0,,u_pad_gpio00_mux_sel.q
siracusa_pads_functional_config_pad_gpio01_cfg,Pad signal configuration.,8,32,,16,,,,,,,,,
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,chip2pad,Connects to pad's TX driver,0,1,RW,0,0,,u_pad_gpio01_cfg_chip2pad.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,drv0,Choose the driving strength of the pad. LSB = ~3mA,1,1,RW,0,0,,u_pad_gpio01_cfg_drv0.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,drv1,Choose the driving strength of the pad. LSB = ~3mA,2,1,RW,0,0,,u_pad_gpio01_cfg_drv1.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,drv2,Choose the driving strength of the pad. LSB = ~3mA,3,1,RW,0,0,,u_pad_gpio01_cfg_drv2.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,drv3,Choose the driving strength of the pad. LSB = ~3mA,4,1,RW,1,0,,u_pad_gpio01_cfg_drv3.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,pull_en,"Enable pull up/down (depends on pull_sel) resistor, active-high",5,1,RW,0,0,,u_pad_gpio01_cfg_pull_en.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,pull_sel,"1 -> use pull-up resistor (if pull_en == 1), 0 -> use pull-down resistor",6,1,RW,0,0,,u_pad_gpio01_cfg_pull_sel.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,ret_en,"Enable retention mode, active-high",7,1,RW,0,0,,u_pad_gpio01_cfg_ret_en.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,st_en,"Schmitt-trigger enable, active high",8,1,RW,0,0,,u_pad_gpio01_cfg_st_en.q
siracusa_pads_functional_config_pad_gpio01_cfg,,,,,,tx_en,"TX driver enable, active low",9,1,RW,0,0,,u_pad_gpio01_cfg_tx_en.q
siracusa_pads_functional_config_pad_gpio01_mux_sel,"Pad signal port multiplex selection for pad pad_gpio01. The programmed value defines which port
is connected to the pad.",12,32,,0,,,,,,,,,
siracusa_pads_functional_config_pad_gpio01_mux_sel,,,,,,pad_gpio01_mux_sel,,0,5,RW,0,0,,u_pad_gpio01_mux_sel.q
siracusa_pads_functional_config_pad_gpio02_cfg,Pad signal configuration.,16,32,,16,,,,,,,,,
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,chip2pad,Connects to pad's TX driver,0,1,RW,0,0,,u_pad_gpio02_cfg_chip2pad.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,drv0,Choose the driving strength of the pad. LSB = ~3mA,1,1,RW,0,0,,u_pad_gpio02_cfg_drv0.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,drv1,Choose the driving strength of the pad. LSB = ~3mA,2,1,RW,0,0,,u_pad_gpio02_cfg_drv1.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,drv2,Choose the driving strength of the pad. LSB = ~3mA,3,1,RW,0,0,,u_pad_gpio02_cfg_drv2.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,drv3,Choose the driving strength of the pad. LSB = ~3mA,4,1,RW,1,0,,u_pad_gpio02_cfg_drv3.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,pull_en,"Enable pull up/down (depends on pull_sel) resistor, active-high",5,1,RW,0,0,,u_pad_gpio02_cfg_pull_en.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,pull_sel,"1 -> use pull-up resistor (if pull_en == 1), 0 -> use pull-down resistor",6,1,RW,0,0,,u_pad_gpio02_cfg_pull_sel.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,ret_en,"Enable retention mode, active-high",7,1,RW,0,0,,u_pad_gpio02_cfg_ret_en.q
siracusa_pads_functional_config_pad_gpio02_cfg,,,,,,st_en,"Schmitt-trigger enable, active high",8,1,RW,0,0,,u_pad_gpio02_cfg_st_en.q
