Block Name,BlockMap Name,BlockMap Description,BlockMap is default,BlockMap Instance Name,BlockMap Instance Address,BlockMap Instance Access,BlockMap Address Offset
weight_memory_config_block,weight_memory_config_map,Default Map,True,,,,
weight_memory_config_block,weight_memory_config_map,,,cfg,0,,
weight_memory_config_block,weight_memory_config_map,,,vmm_mram_page_idx,4,,
weight_memory_config_block,weight_memory_config_map,,,vmm_sram_page_idx,8,,
weight_memory_config_block,weight_memory_config_map,,,vmm_status,12,,
weight_memory_config_block,weight_memory_config_map,,,mram_clk_div,16,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_pwr_0,20,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_pwr_1,24,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_pwr_2,28,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_pwr_3,32,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_status_0,36,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_status_1,40,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_status_2,44,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_status_3,48,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfga_0,52,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfga_1,56,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfga_2,60,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfga_3,64,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfgb_0,68,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfgb_1,72,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfgb_2,76,,
weight_memory_config_block,weight_memory_config_map,,,mram_bank_seq_cfgb_3,80,,
